conf_isr_rank_mar21,conference,isr_mar21,wins,losses
1,Independents,120.2,15,5
2,SEC,115.4,270,90
3,ACC,112.0,242,101
4,Big 12,111.7,185,109
5,Big Ten,109.8,201,143
6,AAC,107.3,135,87
7,Sun Belt,107.1,174,124
8,C-USA,105.4,141,115
9,Big West,104.2,104,115
10,WAC,101.1,83,68
11,Mountain West,100.5,90,98
12,Southern,100.1,107,65
13,Southland,99.9,124,116
14,Big South,98.9,107,88
15,WCC,98.6,81,121
16,MAC,97.5,106,122
17,Big East,97.3,68,94
18,Atlantic Sun,97.3,112,148
19,Horizon,96.9,25,70
20,OVC,96.7,103,110
21,CAA,94.7,92,122
22,Summit,94.3,36,92
23,MVC,94.3,73,109
24,Ivy,92.9,30,78
25,Atlantic 10,92.3,109,129
26,America East,91.0,43,78
27,Patriot,89.6,41,64
28,MAAC,84.7,81,143
29,SWAC,84.3,80,157
30,NEC,73.8,50,147
