elo_rank_mar21,team,elo_mar21,record_mar21,elo_rank_delta_since_mar15
1,UCLA,1753.55,19-2,
2,Auburn,1723.66,19-2,1
3,Texas,1698.46,18-3,-1
4,Mississippi State,1670.75,18-4,2
5,Georgia Tech,1656.98,18-4,-1
6,North Carolina,1656.57,19-3-1,3
7,Florida,1644.66,19-4,-2
8,Florida State,1637.8,17-4,-1
9,Arkansas,1628.49,17-6,3
10,Kentucky,1625.84,19-3,
11,Georgia,1624.55,19-4,3
12,Oregon State,1622.25,15-5,-4
13,USC,1602.33,22-1,4
14,Coastal Carolina,1599.94,14-7,-3
15,Oregon,1590.43,18-3,3
16,Southern Miss,1589.24,17-5,-3
17,Louisville,1586.49,15-7,-2
18,North Carolina State,1584.34,18-4,8
19,Virginia,1581.86,19-4,6
20,Clemson,1576.01,18-5,-1
21,LSU,1568.51,16-8,1
22,Ole Miss,1567.92,18-6,2
23,Texas A&M,1567.16,17-4,-3
24,Oklahoma,1566.09,18-5,-8
25,Arizona State,1562.78,16-5,3
26,West Virginia,1553.17,15-4,5
27,Tennessee,1552.91,15-7,-6
28,TCU,1547.54,12-9,-5
29,Wake Forest,1542.44,16-6,-2
30,Cincinnati,1533.8,18-6,9
31,UCF,1533.39,14-6,11
32,Miami (FL),1530.55,16-6,4
33,Nebraska,1528.72,16-6,-3
34,Jacksonville State,1527.02,19-4,-5
35,Alabama,1526.71,16-7,-3
36,Notre Dame,1525.91,12-6,4
37,Kansas State,1513.46,16-6,-4
38,East Carolina,1513.26,14-8-1,7
39,Kent State,1508.65,16-4,2
40,Mercer,1508.46,19-3,6
41,UNCW,1506.5,15-7,-4
42,Louisiana,1504.11,16-6,-8
43,South Florida,1497.22,18-4,-8
44,UTSA,1493.2,16-6,
45,UC Santa Barbara,1486.74,14-5,-7
46,Virginia Tech,1482.89,11-9,10
47,Kansas,1480.08,13-8,16
48,Boston College,1477.96,14-8,14
49,Cal Poly,1477.77,12-7,
50,Charlotte,1469.89,14-8,-7
51,Michigan,1463.43,11-9,21
52,FGCU,1462.71,17-5,-1
